osmotic  Ion str. g(H2O)   g(H)     g(Na)    g(Mg)    g(Ca)    g(K)     g(MgOH)  g(TRISH) g(Cl)    g(SO4)   g(HSO4)  g(OH)    g(TRIS)   [H]      [Na]     [Mg]     [Ca]     [K]     [MgOH]    [TRISH]  [Cl]     [SO4]    [HSO4]   [OH]     [TRIS]  
0.706593 0.300000 0.996188 0.651925 0.711157 0.172594 0.138228 0.727799 0.643994 0.643994 0.795694 0.160206 0.865678 0.577023 1.000000  0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200000 0.000000 
0.316912 3.000000 0.983018 0.450456 0.761229 0.025671 0.009920 0.872169 0.398561 0.398561 0.936757 0.098632 1.265406 0.249698 1.000000  0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.000000 0.000000 
0.926637 0.100000 0.996667 0.796929 0.776380 0.397612 0.399503 0.767971 0.902554 0.738936 0.767971 0.327961 0.755194 0.783379 1.000000  0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 0.000000 
0.898844 1.000000 0.968133 0.819164 0.645854 0.287115 0.287232 0.604602 1.058422 0.482843 0.604602 0.095160 0.528557 0.683666 1.000000  0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 
0.779661 0.300000 0.995795 0.648354 0.682858 0.181209 0.147346 0.677442 0.628172 0.628172 0.671160 0.181069 0.649010 0.702495 1.000000  0.000000 0.000000 0.000000 0.000000 0.200000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 
0.649622 3.000000 0.965500 0.585106 0.471246 0.091142 0.081459 0.495201 0.364698 0.364698 0.519300 0.032196 0.351137 0.659444 1.000000  0.000000 0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 
0.919441 0.100000 0.996693 0.824158 0.786475 0.402077 0.438656 0.756549 0.739374 0.739374 0.767504 0.327203 0.756549 0.791769 1.000000  0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 
0.845226 1.000000 0.970005 0.960268 0.679161 0.300304 0.411479 0.539014 0.486523 0.486523 0.601942 0.088009 0.539014 0.765908 1.000000  0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 
0.940275 0.100000 0.996618 0.738697 0.774626 0.296183 0.242287 0.790253 0.737959 0.737959 0.759278 0.323905 0.755101 0.790253 1.000000  0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 
0.999253 1.000000 0.964637 0.480896 0.644720 0.051076 0.028567 0.749517 0.476111 0.476111 0.536211 0.079718 0.527479 0.749517 1.000000  0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 
0.988340 0.100000 0.996445 0.781208 0.763585 0.368364 0.367942 0.753491 0.885536 0.725004 0.885536 0.277044 0.724134 0.717790 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 0.100000 0.000000 0.100000 0.000000 0.000000 0.000000 0.000000 
0.946431 1.000000 0.966474 0.649946 0.525304 0.110334 0.108954 0.479227 0.838940 0.382717 0.838940 0.022287 0.378152 0.346297 1.000000  0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 
