tempK,pres,H,Na,Mg,Ca,K,MgOH,trisH,Cl,SO4,HSO4,OH,tris,osm,aw,gH,gNa,gMg,gCa,gK,gMgOH,gtrisH,gCl,gSO4,gHSO4,gOH,gtris
2.981499999999999773e+02,1.013250000000000028e+01,0.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.858153757877649470e-01,9.957620662947280765e-01,6.530347932938361799e-01,6.855144150492181732e-01,1.677949469525049364e-01,1.344666826004806970e-01,6.732096210804976444e-01,6.273768555562362348e-01,6.743722378422376540e-01,6.521727854781904643e-01,1.849345409039155341e-01,6.609305616953912166e-01,6.475702548435181560e-01,1.006340013339220185e+00
2.981499999999999773e+02,1.013250000000000028e+01,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.474949839019104036e-01,9.656113389083036402e-01,4.415381149393619586e-01,5.061337297677348523e-01,8.783569712399363905e-02,5.792527873242933611e-02,4.573442430839430584e-01,3.605173384367389433e-01,5.063595880848178465e-01,5.072004194605432836e-01,3.274683027320973716e-02,4.798966174898018910e-01,4.845553304416718721e-01,1.065239865901108640e+00
2.981499999999999773e+02,1.013250000000000028e+01,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.372587071209091958e-01,9.966287523377824753e-01,8.271062389655309266e-01,7.861873534016100562e-01,3.715846062232613378e-01,4.026274705816346722e-01,7.526512547459831559e-01,7.373322113255467158e-01,7.373322113255467158e-01,7.755918432624686609e-01,3.032961936898617705e-01,7.861873534016100562e-01,7.758280942885382725e-01,1.003164998063239999e+00
2.981499999999999773e+02,1.013250000000000028e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.370325029370518699e-01,9.668022710854645707e-01,9.993393168715097863e-01,6.712480533524173287e-01,2.363424079107359910e-01,2.907659618844735672e-01,5.077671365133235026e-01,4.694514872266349337e-01,4.694514872266349337e-01,6.328578294515404545e-01,6.619841272690916989e-02,6.712480533524173287e-01,6.511440134390049650e-01,1.032104580893384416e+00
2.981499999999999773e+02,1.013250000000000028e+01,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,9.323806796911437988e-01,9.966462687730678338e-01,7.439639687544061797e-01,7.771901315380979058e-01,2.776377493412234276e-01,2.256669532826120206e-01,7.890719928837406361e-01,7.386266655281191751e-01,7.386266655281191751e-01,7.701462708397609491e-01,3.046153983699060874e-01,7.875675772789725304e-01,7.771901315380979058e-01,1.003164998063239999e+00
2.981499999999999773e+02,1.013250000000000028e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.467904014943949731e-01,9.664624253056995906e-01,5.172502592826353496e-01,6.676023352248781073e-01,4.618027124667263561e-02,2.422728862753135634e-02,7.397445663412839378e-01,4.813173471288491045e-01,4.813173471288491045e-01,5.941950616510974781e-01,7.073182935651528558e-02,6.882145250271967107e-01,6.676023352248781073e-01,1.032104580893384416e+00
2.981499999999999773e+02,1.013250000000000028e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.617884806069889825e-01,9.953532936571733991e-01,6.798639725517270360e-01,6.514550956295994677e-01,2.373622310116136336e-01,2.359659380688494401e-01,6.278084974604574153e-01,7.894687602789458580e-01,6.193161263355912993e-01,7.850580162039328957e-01,1.575441611212402004e-01,7.896983310495587771e-01,6.083280789695394430e-01,9.714067503505308121e-01
2.981499999999999773e+02,1.013250000000000028e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.108609046569181578e+00,9.418447980186579471e-01,7.716834944776722605e-01,5.177961626436962117e-01,1.450672615042359337e-01,1.221520222207698458e-01,3.791153726207099894e-01,5.308696369009466842e-01,3.729679549342364564e-01,1.118508847780105286e+00,6.003385430301351466e-02,1.165823370492673705e+00,2.800632519176028401e-01,7.481887449630004738e-01
2.981499999999999773e+02,1.013250000000000028e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.958806431260055270e-01,9.978553451085619974e-01,6.045133987700261891e-01,6.423586460079371285e-01,1.688442636132629349e-01,1.425563051793606872e-01,6.257014342905488080e-01,5.835768562521986835e-01,6.241137209958822485e-01,7.294850196030127076e-01,1.688442636132629349e-01,7.322659494401210223e-01,5.820615272073365043e-01,9.714067503505308121e-01
2.981499999999999773e+02,1.013250000000000028e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.264432591830816577e-01,9.812110051709277414e-01,3.273029482934643464e-01,4.274991986230770036e-01,5.545703476056575848e-02,4.384851644365615059e-02,3.516623676892103312e-01,2.858074594972779825e-01,3.889491637705984606e-01,8.779239676866267272e-01,5.545703476056575848e-02,8.564757208529907295e-01,2.784722366601293242e-01,7.481887449630004738e-01
